prbiotic_ID,ICD_ID,Weight
11846,2421,1
11846,2281,1
11847,891,1
11847,901,1
11847,902,1
11847,910,1
11847,914,1
11847,919,1
11847,925,1
11847,931,1
11847,932,1
11847,936,1
11847,941,1
11847,949,1
11847,956,1
11847,957,1
11847,963,1
11847,967,1
11847,973,1
11847,983,1
11847,990,1
11847,1001,1
11847,1002,1
11847,1003,1
11847,1008,1
11847,1017,1
11847,1018,1
11847,1023,1
11847,1032,1
11847,1036,1
11847,1039,1
11847,1046,1
11847,1053,1
11847,1054,1
11847,1061,1
11847,1062,1
11847,1069,1
11847,1072,1
11847,1079,1
11847,1086,1
11847,1108,1
11847,1119,1
11847,1125,1
11847,1134,1
11847,1144,1
11847,1149,1
11847,1160,1
11847,1170,1
11847,1176,1
11847,1177,1
11847,1182,1
11847,1189,1
11847,1190,1
11847,1194,1
11847,1203,1
11847,1204,1
11847,1210,1
11847,1211,1
11847,1215,1
11847,1222,1
11847,1226,1
11847,1230,1
11847,1234,1
11847,1245,1
11847,1250,1
11847,1260,1
11847,1264,1
11847,1275,1
11847,1283,1
11847,1284,1
11847,1288,1
11847,1305,1
11847,1313,1
11847,1322,1
11847,1332,1
11847,1343,1
11847,1347,1
11847,1355,1
11847,1365,1
11847,1373,1
11847,1382,1
11847,1387,1
11847,1395,1
11847,1402,1
11847,1407,1
11847,1417,1
11847,1428,1
11847,1434,1
11847,1441,1
11847,1445,1
11848,4273,1
11848,4284,1
11848,4287,1
11848,4293,1
11848,4304,1
11848,4315,1
11848,4323,1
11848,4330,1
11848,4339,1
11848,4344,1
11848,4355,1
11848,4360,1
11848,4369,1
11848,4379,1
11848,4383,1
11848,4386,1
11848,4397,1
11848,4398,1
11848,4408,1
11848,4418,1
11848,4428,1
11848,4438,1
11848,4448,1
11848,4449,1
11848,4460,1
11848,4464,1
11848,4465,1
11848,4466,1
11848,4473,1
11848,4480,1
11848,4487,1
11848,4491,1
11848,4501,1
11848,4505,1
11848,4509,1
11848,4513,1
11848,4518,1
11848,4526,1
11848,4533,1
11848,4540,1
11848,4549,1
11848,4558,1
11848,4564,1
11848,4572,1
